Cobi_24_1_S54	Cobi_24_2_S55	TNF_24_1_S58	TNF_24_2_S59	UT_24_1_S52	UT_24_2_S53
AC087269.3	0	0	0	0	0	0
CLDN23	56	60	38	54	59	57
AC087269.2	0	0	0	0	0	0
AC087269.1	0	1	0	0	0	0
MFHAS1	936	999	860	904	877	978
RNU6-682P	0	0	0	0	0	0
AC087763.2	0	1	0	0	1	0
RPL10P19	1	0	1	1	3	1
AC087763.1	0	0	0	0	0	0
ERI1	2286	2424	1146	1090	1750	2195
MIR4660	0	0	0	0	1	0
RNU7-55P	0	0	0	0	0	0
AC087579.1	1	0	0	0	1	0
PPP1R3B	840	814	335	319	578	715
AC022784.5	1	4	5	2	7	6
AC022784.1	23	21	8	16	17	16
AC022784.6	0	3	0	2	0	2
AC022784.2	0	0	0	0	0	0
AC022784.4	0	0	0	0	0	0
AC022784.3	0	0	0	0	0	0
RNU6-1151P	0	0	0	0	0	0
AC021736.1	0	0	0	0	0	0
AC021242.2	0	2	0	0	0	0
RNU6-526P	0	0	0	0	0	0
AC021242.1	0	0	0	0	0	1
AC021242.3	2	2	0	0	1	3
TNKS	1404	1344	1504	1520	1720	2090
AC103834.1	0	0	0	0	0	0
MIR597	0	0	0	0	0	0
LINC00599	0	0	0	0	0	0
MIR124-1	0	0	0	0	0	0
AC034111.2	4	2	2	2	0	0
AC034111.1	2	2	1	1	0	0
MSRA	83	81	93	108	115	108
AC023385.1	0	0	0	0	0	0
AC079200.1	0	0	0	0	0	0
AC112673.1	0	0	0	0	0	0
AC104964.3	3	1	1	1	1	4
AC104964.1	0	5	4	0	4	0
AC104964.5	0	0	0	0	1	0
RNU6-729P	0	0	0	0	2	1
AC104964.2	1	1	1	0	0	0
PRSS51	19	30	5	4	16	9
AC104964.4	1	4	1	2	1	6
PRSS55	0	1	0	0	0	0
RP1L1	10	10	8	8	12	12
MIR4286	0	0	0	0	0	0
C8orf74	0	0	0	0	0	0
RNA5SP252	0	0	0	0	0	0
SOX7	6	6	12	9	12	8
PINX1_1	61	69	124	107	112	128
AC105001.1	0	0	0	0	0	0
PINX1_2	103	114	222	181	182	200
MIR1322	0	0	0	0	0	0
AC011008.1	0	0	1	0	0	2
AC011008.2	0	0	0	0	0	0
XKR6	0	0	0	0	0	0
MIR598	0	0	0	0	0	0
AF131215.3	0	0	0	0	0	0
AF131215.6	0	0	0	0	0	0
AF131215.5	0	0	0	0	0	0
AF131215.4	0	0	0	0	0	0
AF131215.2	0	0	0	0	0	0
AF131215.1	0	0	0	0	0	0
AF131215.7	0	0	0	0	0	0
LINC00529	0	0	0	0	0	0
RPL19P13	0	0	0	0	0	0
AF131216.2	0	0	0	0	0	0
AF131216.4	1	1	0	0	1	0
MTMR9	250	263	255	262	269	302
AF131216.1	0	0	1	0	0	0
SLC35G5	1	0	1	1	0	0
TDH	0	0	0	0	0	0
AF131216.3	0	0	0	0	0	0
FAM167A-AS1	0	0	0	0	0	0
RN7SL293P	0	0	0	0	0	0
RNU6-1084P	0	0	0	0	0	0
FAM167A	161	154	197	189	189	164
AF131216.5	0	0	0	0	0	0
BLK	0	0	0	0	0	0
AC022239.1	9	9	3	3	5	3
LINC00208	0	0	0	0	0	0
AC022239.2	0	0	0	0	0	0
GATA4	0	0	0	0	0	0
C8orf49	0	0	0	0	1	0
NEIL2	422	400	553	490	552	622
SUB1P1	4	3	6	8	8	11
FDFT1	1881	2053	2173	2144	2395	2975
AC069185.1	9	12	8	14	11	11
CTSB	4122	4391	3122	3119	4169	4555
AC025857.2	11	6	6	8	5	7
AC025857.1	0	0	0	0	0	0
OR7E158P	0	0	1	0	0	0
OR7E161P	0	0	0	0	0	0
AC107918.5	0	0	0	0	1	1
AC107918.6	0	1	0	0	1	1
DEFB136	0	0	0	0	0	1
DEFB135	0	0	0	0	0	0
DEFB134	1	0	0	0	0	1
AC107918.3	0	0	0	0	0	0
DEFB131E	3	5	1	1	2	3
AC107918.4	12	15	12	9	22	24
AC107918.2	0	0	0	0	0	0
AC107918.1	0	0	0	0	0	0
DEFB131C	0	0	0	0	0	0
DEFB130B	0	0	0	0	0	0
RNA5SP253	0	0	0	0	0	0
DEFB108D	0	0	0	0	0	0
ZNF705D	0	0	0	0	0	0
FAM66D	6	6	2	0	1	6
AC130366.1	0	0	0	0	0	0
USP17L7	0	0	0	0	0	0
USP17L2	0	0	0	0	0	0
DEFB109D	0	0	0	0	0	0
FAM90A2P	0	0	1	0	0	1
ALG1L11P	0	0	0	0	0	0
FAM86B1	35	44	45	59	61	57
AC145124.1	8	6	4	2	3	2
ENPP7P12	0	0	0	0	0	0
DEFB131D	0	0	0	0	0	0
DEFB130A	0	0	0	0	0	0
RNA5SP254	0	0	0	0	0	0
DEFB108E	0	0	0	0	0	0
ZNF705CP	0	0	0	0	0	0
FAM66A	0	0	0	0	0	0
AC087203.1	0	1	0	0	0	0
AC087203.2	0	1	1	0	0	0
DEFB109A	0	0	0	0	0	0
AC087203.3	0	0	0	0	0	0
FAM90A25P	0	1	0	0	1	1
ALG1L12P	0	0	0	0	0	0
FAM86B2	16	9	6	5	32	15
ENPP7P6	3	5	0	1	0	0
AC068587.4	67	86	62	46	73	60
AC130352.1	1	1	0	0	0	1
RPS3AP34	0	3	1	2	3	2
AC068587.2	0	1	0	0	1	0
AC068587.8	10	15	9	11	14	14
AC068587.6	6	9	6	1	5	1
RPS3AP35	0	0	0	0	1	0
AC068587.3	0	0	0	0	0	0
AC068587.7	4	6	7	6	8	11
AC068587.5	4	4	7	6	7	12
AC068587.1	0	0	0	0	0	0
OR7E8P	0	0	0	0	0	0
OR7E15P	0	0	0	0	0	0
OR7E10P	0	0	0	0	0	0
MIR5692A2	0	0	0	0	0	0
LONRF1	266	258	670	623	474	560
MIR3926-1	0	0	0	0	0	0
MIR3926-2	0	0	0	0	0	0
AC123777.1	0	0	0	0	0	0
LINC00681	0	0	0	0	0	0
TRMT9B	0	0	0	0	0	0
AC135352.1	0	0	0	0	0	0
RNU6-842P	0	0	0	0	0	0
DLC1	0	0	0	0	0	2
AC106845.1	1	0	0	0	0	0
AC015641.1	0	0	0	0	0	0
AC019270.1	0	0	0	0	0	0
MTND4P7	0	0	0	0	0	0
RNA5SP255	0	0	0	0	0	0
C8orf48	1	0	0	0	0	0
AC022832.1	0	0	0	0	0	0
AC022832.2	0	0	0	0	0	0
AC022880.2	0	0	0	0	0	0
AC022880.1	0	0	0	0	0	0
AC022690.2	0	0	0	0	0	0
AC022690.1	0	0	0	0	0	0
AC023538.1	0	0	0	1	0	0
SGCZ	0	0	0	0	0	0
AC022039.1	0	0	0	0	0	0
EIF4EP5	1	0	0	0	0	1
RNU7-153P	0	0	0	0	0	0
AC009898.1	0	0	0	0	0	0
RNU6-397P	0	0	0	0	0	0
AC040926.1	0	0	0	0	0	0
MIR383	0	0	0	0	0	0
AC084838.1	0	0	0	0	0	0
AC103851.1	0	0	0	0	0	0
TUSC3	6	2	0	3	2	2
AC100850.1	0	0	0	0	0	0
PPM1AP1	0	0	0	0	0	0
AC018437.3	0	0	0	0	0	0
AC018437.1	0	0	0	0	0	0
AC018437.2	0	0	0	0	0	0
MSR1	3	5	6	8	9	4
AC087360.1	0	0	0	0	0	0
MRPL49P2	0	0	0	0	0	0
AC011586.2	0	1	0	0	0	0
AC011586.1	0	0	0	0	0	0
RN7SL474P	0	0	0	0	0	0
FGF20	0	0	0	0	0	0
MICU3	2	1	0	0	0	2
AC079193.2	0	0	0	0	0	0
AC079193.1	0	0	0	0	0	0
ZDHHC2	564	564	747	790	733	1025
CNOT7	1738	1828	2328	2369	2449	2782
VPS37A	437	398	525	516	522	614
MTMR7	2	1	1	5	2	0
ADAM24P	0	0	0	0	0	0
SLC7A2	370	346	424	397	444	566
AP006248.2	0	0	0	0	0	0
AP006248.5	0	0	0	0	0	0
AP006248.3	0	0	0	0	0	0
AP006248.4	0	0	1	0	1	0
PDGFRL	173	154	85	77	97	142
AP006248.1	0	0	0	0	0	0
AP006248.6	0	0	0	0	0	0
MTUS1	5469	5804	1611	1663	2565	2843
MIR548V	1	5	0	2	0	3
AC124069.1	0	0	0	0	0	0
RNA5SP256	0	0	0	0	0	0
AC027117.2	3	8	2	0	3	2
AC027117.1	77	81	21	19	26	27
FGL1	3	2	1	1	0	2
AC087273.1	0	1	0	0	0	0
AC087273.2	0	1	0	0	0	0
PCM1	2079	2239	2033	1956	2682	2785
ASAH1	1167	1157	610	692	782	899
AC124242.1	7	12	3	7	13	5
AC124242.2	0	4	4	4	1	3
AC124242.3	0	2	0	3	2	0
NAT1	141	113	55	48	63	75
MTND4LP26	0	0	0	0	0	0
NATP	0	0	0	0	0	0
AC025062.1	0	0	0	0	0	0
AC025062.3	0	1	0	0	0	0
AC025062.2	0	0	0	0	0	0
NAT2	3	4	0	0	0	1
PSD3	601	574	1291	1314	1233	1507
AC100800.1	0	0	0	0	0	0
RPL35P6	0	0	0	0	0	0
AC087821.2	0	0	0	0	0	0
AC087821.1	0	0	0	0	2	0
AC009884.1	0	0	0	0	0	0
AC009884.2	0	0	0	0	0	0
AC009884.3	0	0	0	0	0	0
AC100849.1	0	0	0	0	0	1
AC100849.2	0	0	0	0	0	1
AC068880.1	0	0	0	0	0	0
AC068880.3	0	0	0	0	0	0
AC068880.2	0	0	0	0	0	0
AC068880.5	0	0	0	0	0	0
SH2D4A	388	409	513	516	531	575
AC068880.4	0	0	0	0	0	0
CSGALNACT1	23	16	4	7	9	10
AC090541.1	0	0	0	0	0	0
INTS10	794	871	1035	925	1096	1278
LPL	0	0	0	0	0	0
AC100802.1	1	0	0	0	0	1
RPL30P9	0	0	0	0	0	0
SLC18A1	0	0	0	0	0	0
ATP6V1B2	942	1001	892	776	1094	1168
RNU6-892P	0	1	0	0	1	0
LZTS1	99	86	27	25	62	68
LZTS1-AS1	0	0	0	0	0	0
RNA5SP257	0	0	0	0	0	0
AC023403.1	0	0	0	0	0	0
AC022559.1	0	0	0	0	1	0
AC018541.1	0	0	0	0	0	0
TMEM97P2	0	0	0	0	0	0
AC015468.3	0	0	0	0	0	0
AC021613.1	0	0	0	0	0	0
AC015468.1	0	0	0	0	0	0
AC015468.2	0	0	0	0	0	0
LINC02153	0	0	0	0	0	0
AC103719.1	0	0	0	0	0	0
AC021613.2	0	0	0	0	0	0
AC021613.3	0	0	0	0	0	0
AC021355.1	0	0	0	0	0	0
GFRA2	1	1	0	0	0	3
OR6R2P	0	0	0	0	0	0
DOK2	0	0	0	0	0	1
XPO7	919	960	1152	1142	1344	1494
NPM2	81	83	34	34	44	43
FGF17	14	13	3	6	10	9
DMTN	1059	1007	471	467	699	761
FAM160B2	304	352	310	312	364	390
NUDT18	154	172	74	87	137	142
HR	560	551	172	179	407	407
REEP4	400	359	673	656	986	908
LGI3	46	51	19	24	35	41
SFTPC	0	0	0	0	0	0
BMP1	1050	1071	574	525	734	737
AC105206.1	1	1	3	5	3	4
AC105206.3	1	1	2	1	0	0
PHYHIP	19	24	16	11	26	33
MIR320A	1	0	2	0	1	6
POLR3D	331	355	561	560	620	636
AC105206.2	0	0	0	0	0	0
PIWIL2	6	7	6	7	14	5
SLC39A14	1403	1345	2574	2481	2849	2429
AC105910.1	0	0	0	0	0	0
RNU6-336P	0	0	0	0	0	0
PPP3CC	87	96	211	208	175	198
AC087854.1	0	0	2	0	1	0
AC087854.2	0	0	1	0	0	0
SORBS3	786	747	739	767	973	1012
AC037459.4	0	0	3	4	1	1
AC037459.3	0	0	0	0	1	1
PDLIM2	248	204	224	228	206	223
AC037459.1	167	124	146	153	159	186
C8orf58	125	108	112	113	140	174
CCAR2	1542	1620	1742	1617	2186	2329
AC037459.2	27	30	16	18	23	25
BIN3	257	245	257	254	309	265
AC105046.1	0	0	0	1	0	0
EGR3	2	5	11	9	24	39
AC055854.1	2	2	1	0	1	2
AC105046.2	3	7	1	1	3	3
PEBP4	1	1	0	0	2	0
AC037441.1	0	0	0	0	0	0
AC037441.2	0	0	0	0	0	0
RN7SL303P	0	0	0	0	0	0
AC107959.1	21	15	22	11	38	23
RHOBTB2	536	510	116	103	162	183
TNFRSF10B	1454	1544	4438	4532	3437	3006
AC107959.2	0	2	1	3	2	1
AC107959.3	2	3	73	84	18	28
AC107959.4	64	49	28	28	37	40
AC107959.5	63	42	18	25	34	36
TNFRSF10C	92	102	35	39	45	62
TNFRSF10D	624	583	1163	1053	1305	1620
TNFRSF10A-AS1	0	0	0	0	1	0
TNFRSF10A	168	201	1071	1017	782	835
RPL23AP55	0	0	0	0	0	0
AC100861.1	81	81	189	208	189	207
AC100861.2	3	2	13	10	10	4
CHMP7	595	592	814	871	923	942
R3HCC1	311	333	403	397	465	515
LOXL2	458	407	931	1082	863	1030
AC090197.1	0	0	0	2	0	0
ENTPD4	847	894	1154	1206	1144	1166
AC104561.1	7	7	7	8	8	10
AC104561.2	0	0	0	0	0	1
AC104561.4	5	12	12	10	12	13
AC104561.3	0	0	0	0	0	0
SLC25A37	717	700	1802	1850	1227	1427
RNU4-71P	0	0	0	0	0	0
SINHCAFP3	0	0	0	0	0	0
NKX3-1	84	75	114	109	65	79
NKX2-6	0	0	0	0	0	0
AC012574.1	0	0	1	0	0	1
AC012574.2	2	1	2	3	4	3
AC012119.2	0	0	0	0	0	0
AC012119.1	0	0	0	0	0	0
STC1	6	2	3	6	0	4
RNU1-148P	0	0	0	0	0	0
AC023202.1	0	0	0	0	0	0
ADAM28	2	2	1	0	0	1
AC120193.1	0	0	0	0	0	0
ADAMDEC1	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
AC024958.1	0	0	0	0	0	0
AF106564.1	1	0	0	0	0	0
NEFM	0	0	0	0	0	0
NEFL	3	0	0	0	0	0
MIR6841	0	0	0	0	0	0
AC107373.2	0	0	0	0	0	0
AC107373.1	0	0	0	0	0	0
AC107373.3	0	0	0	0	0	0
AC073581.1	0	0	0	0	0	0
AC041005.1	1	1	4	0	2	1
DOCK5	892	936	1692	1589	1359	1532
AC091185.2	0	0	0	0	0	0
MIR6876	0	0	0	0	0	0
GNRH1	13	9	13	19	18	24
AC091185.1	3	7	6	9	4	10
KCTD9	736	696	1373	1355	1222	1694
CDCA2	212	223	1039	1071	1213	1371
AC009623.1	0	0	2	0	0	0
AC009623.2	0	0	0	0	0	0
AC009623.3	0	0	0	0	0	0
AC090103.1	0	0	0	0	0	0
EBF2	31	36	36	40	47	69
RNA5SP258	0	0	0	0	0	0
AC079097.1	0	0	0	0	0	0
PPP2R2A	933	903	1593	1600	1415	1604
SDAD1P1	51	50	23	42	35	46
BNIP3L	1678	1584	2378	2634	2337	3448
AC011726.2	0	0	1	0	2	2
AC011726.1	0	1	0	0	0	0
AC011726.3	0	0	0	1	3	0
PNMA2	58	64	12	9	22	26
DPYSL2	714	726	441	432	648	740
AC015743.1	1	0	0	0	0	0
ADRA1A	0	0	0	1	1	1
AC091675.1	0	0	0	0	0	0
COX6B1P4	0	0	0	0	0	0
AC067904.3	0	0	1	0	0	1
AC067904.1	0	0	0	0	0	0
MIR548H4	0	0	0	0	0	0
AC067904.2	1	0	0	0	2	2
AC090150.2	0	0	0	0	0	0
AC090150.1	0	0	0	0	0	0
STMN4	0	0	0	0	0	0
TRIM35	221	237	216	206	229	229
PTK2B	190	189	182	158	193	173
MIR6842	0	0	0	0	0	0
CHRNA2	0	0	0	0	0	0
EPHX2	363	364	100	97	220	218
GULOP	10	7	0	0	6	0
CLU	3330	3093	518	536	1070	1160
MIR6843	0	4	0	0	0	1
SCARA3	661	695	248	239	338	372
RNU6-1086P	1	1	0	0	0	0
AC013643.1	0	0	0	0	0	0
AC013643.3	4	4	1	1	0	2
MIR3622B	0	0	0	0	0	0
MIR3622A	0	0	0	0	0	0
AC013643.2	1	3	0	0	0	0
CCDC25	867	898	789	860	963	1023
ESCO2	138	148	658	709	587	820
RNU6-1276P	0	0	0	0	0	0
PBK	444	424	1857	1824	1859	2285
AC104997.1	0	1	0	0	0	0
SCARA5	2	2	0	0	2	1
MIR4287	0	0	0	0	0	0
AC069113.1	0	0	0	0	0	0
AC069113.3	0	0	0	0	0	0
AC069113.2	0	0	0	0	0	0
NUGGC	0	0	0	0	1	0
ELP3	694	684	784	724	928	1013
AC021678.1	0	0	0	0	2	0
AC021678.3	0	0	0	0	0	0
AC021678.2	0	0	0	0	0	0
RPL5P22	0	0	0	0	0	0
PNOC	0	0	0	0	0	0
ZNF395	968	1036	1162	1073	1665	1991
FBXO16	464	497	484	452	775	869
AC025871.3	4	4	0	0	2	4
AC025871.2	7	5	3	2	4	5
RNU6-178P	0	0	0	0	0	0
AC025871.1	0	0	0	0	0	0
FZD3	500	458	339	340	336	541
MIR4288	0	0	0	0	0	0
RNA5SP259	0	0	0	0	0	0
EXTL3	980	1065	1415	1359	1521	1601
EXTL3-AS1	8	4	5	2	1	0
INTS9	202	206	258	230	311	285
INTS9-AS1	0	0	0	0	0	0
AC040975.1	0	0	0	0	0	0
HMBOX1	242	243	245	214	303	286
AC040975.2	0	0	0	0	0	0
HMBOX1-IT1	0	0	0	0	0	0
RNA5SP260	0	0	0	0	0	0
AC108449.2	29	41	38	26	45	40
KIF13B	374	468	321	355	392	407
AC108449.3	0	0	0	0	0	0
AC108449.1	0	0	0	0	0	0
HMGB1P23	0	0	0	0	0	0
DUSP4	132	140	1715	1899	3455	3417
AC084262.2	0	1	5	3	2	1
AC084262.1	0	0	0	0	0	0
AC084026.2	0	0	0	0	1	0
AC084026.1	0	0	0	0	0	0
AC084026.3	0	0	0	0	0	0
RPL17P33	0	0	0	0	0	0
LINC00589	2	0	2	0	0	1
LINC02099	0	0	1	0	0	0
AC131254.1	0	0	3	1	2	0
AC131254.3	0	0	0	0	0	0
AC131254.2	0	0	0	0	0	0
LINC02209	0	0	0	0	0	0
MIR3148	0	0	0	0	0	0
MAP2K1P1	6	7	16	17	15	20
RNU6-1218P	0	0	0	0	0	0
SARAF	1379	1372	1129	1114	1455	1593
AC044849.1	0	1	2	1	0	0
LEPROTL1	764	693	942	858	933	1067
RPS15AP24	2	0	1	1	0	1
MBOAT4	0	0	1	0	1	0
AC026979.2	7	8	10	9	10	12
DCTN6	443	407	696	653	652	768
AC026979.1	0	0	0	0	0	0
AC026979.4	21	13	12	11	16	18
AC026979.3	2	8	1	8	3	9
HSPA8P11	1	3	1	0	0	2
AC090820.1	0	0	0	0	0	0
AC090820.2	0	0	0	0	0	0
AC109329.1	0	0	0	0	0	0
PPIAP84	0	0	0	0	0	0
TUBBP1	25	38	113	85	96	106
RBPMS-AS1	4	4	5	2	5	2
RBPMS	162	151	91	100	118	115
AC102945.2	3	1	2	2	1	7
GTF2E2	469	449	820	715	876	905
AC102945.1	0	0	0	0	0	0
SMIM18	0	0	0	0	0	0
RNU5A-3P	0	0	0	0	0	0
GSR	1981	1987	2317	2221	3624	3967
UBXN8	193	184	155	144	188	230
AC009314.1	0	0	0	0	0	0
PPP2CB	715	735	1469	1462	1271	1575
TEX15	0	1	0	0	0	0
AC090281.1	3	1	0	0	0	0
AC008066.1	1	0	0	0	0	0
PURG	1	1	0	0	0	0
WRN	354	391	666	642	538	671
SUMO2P16	0	0	0	0	0	0
AC009563.1	0	0	0	0	0	0
KCTD9P6	0	2	1	1	0	0
AC068672.2	0	0	0	0	0	0
AC068672.3	0	0	0	0	0	0
AC068672.1	0	0	0	0	0	0
AC090816.1	0	0	0	0	0	0
RNA5SP261	0	0	0	0	0	0
NRG1	32	34	25	16	12	21
AC068931.1	0	0	0	0	0	0
NRG1-IT1	0	0	0	0	0	0
RNA5SP262	0	0	0	0	0	0
RNA5SP263	0	0	0	0	0	0
NRG1-IT3	0	0	0	0	0	0
AC083977.1	0	0	0	0	0	0
RNU6-663P	0	0	0	0	0	0
AC090204.1	124	125	106	103	151	163
MTND1P6	0	0	0	0	0	0
MTND2P32	0	0	0	0	0	0
RANP9	1	0	0	0	0	0
AC104027.1	0	0	0	0	0	0
RNU6-528P	0	0	0	0	0	0
AC067838.1	18	27	20	16	17	26
FUT10	281	283	237	216	251	321
AC091144.2	0	1	0	0	1	0
TTI2	140	165	209	215	219	294
MAK16	399	435	1023	1011	922	1036
SNORD13	0	1	1	1	1	1
AC091144.1	1	0	0	0	0	0
AC013603.1	0	0	0	0	0	0
RPL10P18	0	0	0	0	0	0
RNF122	91	79	88	88	96	105
RN7SL621P	0	0	0	0	0	0
DUSP26	3	1	0	1	0	2
AF279873.3	0	0	0	0	0	0
BUD31P1	0	0	0	0	0	0
RN7SL457P	0	0	0	0	0	0
VENTXP5	0	0	0	0	0	0
AF279873.2	0	0	1	0	0	0
AF279873.1	0	1	0	0	0	0
AF279873.4	0	0	0	0	0	0
AC087855.2	0	0	0	0	0	0
AC090993.1	1	0	0	0	0	0
AC087855.1	0	0	0	0	0	0
RPL10AP3	0	0	0	0	0	0
LINC01288	0	0	0	0	0	0
AC087343.1	2	5	0	4	3	3
AC099685.1	0	0	0	0	0	0
UNC5D	0	0	0	0	0	0
AC090740.1	0	0	0	0	0	0
LSM12P1	108	119	118	142	174	156
AC105230.1	0	0	0	0	0	0
AC124290.1	0	0	0	0	0	0
AC124290.2	0	0	0	0	0	0
AC124290.3	0	0	0	0	0	0
MTCYBP19	0	0	0	0	0	0
MTND6P19	0	0	0	0	0	0
MTND5P41	0	0	0	0	0	0
AP006245.1	0	0	0	0	0	0
RNU6-533P	0	0	0	0	0	0
AP006245.2	0	0	0	0	0	0
AC090809.1	0	0	0	0	0	0
RPL23P10	0	0	0	0	0	0
RNA5SP264	0	0	0	0	0	0
KCNU1	0	0	0	0	1	0
AC124076.1	0	0	0	0	0	0
TPT1P8	0	0	0	0	0	0
AC090453.1	0	0	0	0	0	0
AC092818.1	0	0	0	0	0	0
SMARCE1P4	0	0	0	0	0	0
AC091182.1	0	0	0	0	0	0
AC091182.2	0	0	0	0	0	0
LINC01605	1	1	0	0	0	0
AC124067.1	0	0	0	0	0	0
AC124067.2	0	0	0	0	0	0
AC124067.3	0	0	0	0	0	0
AC124067.4	0	0	0	0	0	0
AC137579.2	0	0	0	0	0	0
AC137579.1	0	0	0	0	0	0
RNU6-607P	0	0	0	0	0	0
ZNF703	70	67	39	36	40	42
AC138356.3	0	0	0	0	0	0
AC138356.1	0	0	0	0	0	0
ERLIN2	647	644	551	576	650	717
AC138356.2	3	7	6	7	5	7
PLPBP	678	606	720	725	767	948
ADGRA2	270	250	79	88	137	154
BRF2	132	163	148	143	167	202
RAB11FIP1	1484	1463	1352	1352	1276	1456
AC130304.1	0	1	0	0	1	1
RN7SL709P	0	0	0	0	0	0
GOT1L1	0	0	0	0	0	0
AC144573.1	0	0	0	0	0	0
ADRB3	0	0	0	0	0	0
RPL12P48	0	0	0	0	0	0
EIF4EBP1	222	221	812	793	964	790
AP006545.1	1	1	4	0	2	0
AP006545.3	1	0	0	1	1	0
AP006545.2	0	0	0	0	1	0
ASH2L	730	750	733	759	980	1057
RNU6-988P	1	1	0	0	0	0
AC084024.1	0	0	0	0	1	0
STAR	2	0	0	0	2	0
AC084024.3	0	0	2	0	0	0
LSM1	277	294	403	387	378	402
RNU6-323P	0	0	0	1	1	2
BAG4	671	627	656	580	694	971
AC084024.2	0	0	0	0	1	0
AC084024.4	1	1	0	1	0	0
DDHD2	729	682	825	781	829	979
PLPP5	338	300	189	192	223	262
NSD3	961	1035	1260	1212	1416	1507
AC087362.2	3	3	1	0	3	2
AC087362.1	0	0	0	0	0	0
AC087623.2	9	8	3	2	4	2
LETM2	62	76	129	169	149	129
FGFR1	850	792	909	912	919	1013
AC087623.3	2	1	2	0	1	1
AC087623.1	0	0	1	1	0	0
RPS20P22	6	2	5	3	5	8
C8orf86	0	0	0	0	0	0
AC069120.1	0	0	0	0	0	0
RNF5P1	11	3	1	5	12	10
AC016813.2	0	0	0	0	0	0
TACC1	1454	1450	1107	1087	1206	1337
AC016813.1	0	0	0	0	0	0
AC067817.1	0	1	0	0	1	0
AC067817.2	0	0	0	1	0	0
PLEKHA2	522	485	441	444	597	764
AC108863.2	0	0	0	0	0	0
HTRA4	0	0	0	0	0	3
TM2D2	592	599	424	402	446	546
ADAM9	3512	3265	4639	4683	4312	5373
AC108863.1	0	0	0	0	0	0
ADAM32	23	12	26	23	37	35
RPL3P10	0	0	0	0	0	0
AC105185.1	0	0	0	0	0	0
ADAM5	0	1	0	0	1	0
ADAM3A	0	0	0	0	0	0
AC123767.1	0	0	0	0	0	0
ADAM18	0	0	0	0	0	0
ADAM2	0	0	0	0	0	0
AP005902.2	0	0	0	0	0	0
AP005902.1	0	0	0	0	0	0
IDO1	0	0	0	0	0	0
AC007991.3	0	0	0	0	0	0
AC007991.2	0	0	0	0	0	0
AC007991.4	0	0	0	0	0	0
IDO2	0	0	0	0	0	0
AC007991.1	0	0	0	0	0	0
AC087518.1	0	0	0	0	0	0
LINC02866	0	0	0	0	0	0
TCIM	0	0	0	1	0	0
AC022733.1	0	0	0	0	0	0
SIRLNT	0	0	0	0	0	0
AC105999.1	0	0	0	0	0	0
AC010857.1	0	0	0	0	0	0
ZMAT4	0	0	0	0	0	0
AC048387.1	0	0	0	0	0	0
RNU6-356P	0	0	0	0	0	0
SFRP1	1	0	0	0	0	0
MIR548AO	0	0	0	0	0	0
RPS29P2	0	0	0	0	0	0
AC104393.1	0	0	0	0	0	0
RNU6-895P	0	0	0	0	0	0
SNORD65B	0	0	0	0	0	0
AC016868.1	0	0	0	0	0	0
GOLGA7	449	507	499	432	505	571
AC009630.1	3	3	0	0	1	1
KRT18P37	0	0	0	0	0	0
GINS4	110	124	486	429	543	546
AC009630.2	0	0	0	0	1	0
AC009630.4	0	0	6	0	3	1
GPAT4	807	889	995	883	921	884
AC009630.3	0	0	0	0	2	0
NKX6-3	0	0	0	0	0	0
ANK1	55	41	4	6	23	14
MIR486-1	0	0	0	0	0	0
MIR486-2	0	0	0	0	0	0
AC113133.1	0	0	0	0	0	0
AC027702.1	0	0	0	0	0	0
AC027702.2	0	0	2	1	0	1
RN7SL149P	0	0	0	0	0	0
KAT6A	891	985	1259	1271	1411	1495
AC090571.1	0	1	0	1	0	0
AC103724.1	0	0	0	0	0	0
AC103724.2	0	0	0	0	0	0
AC103724.4	0	0	0	0	0	0
AC103724.3	0	0	0	0	0	0
AP3M2	212	212	331	347	412	452
PLAT	189	169	134	211	171	200
AC083973.1	1	1	1	0	1	0
IKBKB	336	361	367	335	374	380
POLB	337	305	326	352	386	408
RPL5P23	42	40	42	43	54	42
DKK4	0	0	0	0	0	0
VDAC3	1039	1097	1328	1307	1523	1593
SLC20A2	546	545	597	649	601	607
AC093367.1	0	0	0	0	0	0
AC090739.1	4	3	6	7	6	9
SMIM19	187	168	171	185	199	221
CHRNB3	0	0	0	0	0	0
AC103843.1	0	0	0	0	0	0
AC103843.2	0	0	0	0	0	0
CHRNA6	0	0	0	0	0	0
THAP1	150	157	189	162	212	264
AC087533.1	0	0	2	3	1	2
RNF170	240	293	168	171	215	217
RN7SL806P	0	0	0	0	0	0
MIR4469	7	8	3	4	5	8
HOOK3	703	715	611	575	635	857
AC009634.1	0	0	0	0	0	0
AC110275.1	376	384	478	465	443	483
FNTA	800	780	921	920	832	927
RNU1-124P	0	0	1	1	0	0
POMK	232	260	317	290	306	332
AC113191.1	0	0	0	0	0	0
HGSNAT	516	482	206	236	253	293
VN1R46P	0	0	0	0	0	0
AC022616.6	0	0	0	0	0	0
AC022616.8	0	0	0	0	0	0
AC022616.4	0	0	0	0	0	0
AC022616.3	0	0	0	0	0	0
AFG3L2P1	1	0	1	2	0	3
AC022616.2	0	0	0	0	0	0
AC022616.5	0	0	0	0	0	0
POTEA	0	0	0	0	0	0
RNU6-104P	0	0	0	0	0	0
AC022616.9	0	0	0	0	0	0
AC022616.7	0	0	0	0	0	0
